City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
266,ozernovskiy,51.5,156.5167,24.33,96,100,6.69,RU,1612675123
267,bayir,37.2687,28.2167,41.0,100,20,4.61,TR,1612675123
268,luau,-10.7073,22.2247,65.43,99,100,5.46,AO,1612675009
269,saint george,37.1041,-113.5841,48.0,33,1,4.61,US,1612674947
270,popondetta,-8.7537,148.2534,87.89,62,95,5.73,PG,1612675036
271,sinnai,39.3042,9.2036,62.01,82,0,9.22,IT,1612675124
272,alugan,12.2188,125.4808,81.48,84,71,13.6,PH,1612675125
273,inhambane,-23.865,35.3833,78.8,89,20,7.02,MZ,1612675125
274,jaciara,-15.9653,-54.9683,71.6,76,100,1.25,BR,1612675126
275,itupiranga,-5.1347,-49.3267,73.65,81,66,1.9,BR,1612674973
276,telfs,47.3,11.0667,39.2,81,40,6.91,AT,1612675126
277,mandera,3.9366,41.867,76.6,60,2,6.76,KE,1612675029
278,khatanga,71.9667,102.5,-34.01,78,0,8.86,RU,1612674943
279,hualmay,-11.0964,-77.6139,70.9,78,100,6.17,PE,1612675016
280,carira,-10.3608,-37.7011,71.87,86,93,7.05,BR,1612675127
281,portland,45.5234,-122.6762,46.99,81,40,8.05,US,1612674944
282,poum,-20.2333,164.0167,81.41,66,7,7.25,NC,1612674998
283,morgantown,39.6295,-79.9559,30.2,51,1,2.59,US,1612675128
284,trelew,-43.249,-65.3051,58.21,62,63,12.37,AR,1612675128
285,sung noen,14.8992,101.8207,84.0,51,0,7.16,TH,1612675129
286,marsh harbour,26.5412,-77.0636,74.75,89,0,17.83,BS,1612675129
287,qaqortoq,60.7167,-46.0333,44.6,29,75,20.71,GL,1612674843
288,dodge city,37.7528,-100.0171,16.0,86,90,13.8,US,1612674982
289,mineiros,-17.5694,-52.5511,66.36,93,44,1.9,BR,1612675129
290,port moresby,-9.4431,147.1797,93.2,49,40,17.27,PG,1612675091
291,senneterre,48.3835,-77.2328,6.8,85,40,8.05,CA,1612675130
292,wembley,-31.9333,115.8,71.6,88,90,13.8,AU,1612675046
293,panzhihua,26.5851,101.7128,62.01,39,76,1.01,CN,1612675131
294,ylojarvi,61.5563,23.5961,19.4,86,90,4.61,FI,1612675132
295,muros,42.7762,-9.0603,45.0,100,40,5.75,ES,1612675078
296,leh,34.1667,77.5833,15.08,59,0,1.92,IN,1612675132
297,saint-georges,12.0564,-61.7485,78.8,73,20,17.27,GD,1612675133
298,ambon,-3.6954,128.1814,93.2,55,40,11.5,ID,1612674979
299,codrington,-38.2667,141.9667,61.88,60,72,15.95,AU,1612674932
300,damietta,31.4165,31.8133,57.2,94,40,5.75,EG,1612675133
301,hasaki,35.7333,140.8333,64.0,25,20,5.75,JP,1612674662
302,grand gaube,-20.0064,57.6608,84.0,74,2,10.0,MU,1612675017
303,sao felix do xingu,-6.6447,-51.995,72.54,95,100,1.57,BR,1612674890
304,warrington,53.3925,-2.5802,37.99,87,90,18.41,GB,1612675134
305,guerrero negro,27.9769,-114.0611,60.51,67,0,5.17,MX,1612675003
306,ginir,7.1333,40.7,62.11,52,75,2.3,ET,1612675135
307,ponta delgada,37.7333,-25.6667,60.01,94,40,19.57,PT,1612675022
308,ipua,-20.4381,-48.0122,64.94,80,12,2.42,BR,1612675136
309,guntakal,15.1667,77.3833,81.61,29,90,10.33,IN,1612675136
310,changde,29.0464,111.6783,55.76,79,87,9.69,CN,1612675103
311,taltal,-25.4,-70.4833,62.98,77,22,3.96,CL,1612675136
312,bontang,0.1333,117.5,83.62,69,94,8.52,ID,1612675032
313,gondanglegi,-7.7479,112.0132,86.02,72,36,12.48,ID,1612675137
314,burnie,-41.0667,145.9167,72.0,85,1,5.01,AU,1612675137
315,nyurba,63.2842,118.3319,-16.73,88,92,3.33,RU,1612675046
